tc_rate,lambda,vi_mean_pnl,vi_pnl_std,vi_sharpe,vi_hedge_freq,vi_tc,bs_mean_pnl,bs_sharpe,bs_hedge_freq,bs_tc
0.0,0.0,0.22043883356742228,6.96368640582757,0.06331095937431869,0.28631746031746036,0.0,-0.6565756761728411,-2.4705301015277774,0.9827301587301599,0.0
0.0,0.1,0.2860184229280005,6.980622988237357,0.08194638885668329,0.24180952380952442,0.0,-0.6565756761728411,-2.4705301015277774,0.9827301587301599,0.0
0.0,0.5,0.2509600609111616,7.113662757374589,0.07055719942613146,0.1904126984126992,0.0,-0.6565756761728411,-2.4705301015277774,0.9827301587301599,0.0
0.0,1.0,0.24909513624427593,7.117947796816959,0.06999071736819075,0.1911111111111119,0.0,-0.6565756761728411,-2.4705301015277774,0.9827301587301599,0.0
0.0,2.0,0.23811353941487454,7.126012236314441,0.06682939392145258,0.19244444444444522,0.0,-0.6565756761728411,-2.4705301015277774,0.9827301587301599,0.0
0.0005,0.0,0.16308818392730492,6.9743372085803905,0.04676808105196311,0.2813968253968255,0.06532948767550326,-0.8107291428041954,-3.0748866497066825,0.9827301587301599,0.15415346663135404
0.0005,0.1,0.19454176639309595,7.047514888740602,0.055208614515707896,0.21390476190476265,0.10820737863942653,-0.8107291428041954,-3.0748866497066825,0.9827301587301599,0.15415346663135404
0.0005,0.5,0.08955854224481632,7.130802495505735,0.025118783559427305,0.18996825396825476,0.16406735380349619,-0.8107291428041954,-3.0748866497066825,0.9827301587301599,0.15415346663135404
0.0005,1.0,0.08034193520224892,7.139436433090245,0.022506520214922224,0.19088888888888966,0.16993508340606264,-0.8107291428041954,-3.0748866497066825,0.9827301587301599,0.15415346663135404
0.0005,2.0,0.06752618768444275,7.147937760672878,0.018893893580317383,0.1861904761904769,0.17088754326967157,-0.8107291428041954,-3.0748866497066825,0.9827301587301599,0.15415346663135404
0.001,0.0,0.30182804615749925,7.179445011721997,0.08408116384057533,0.12523809523809537,0.028677923067093127,-0.9648826094355493,-3.659729291141854,0.9827301587301599,0.3083069332627081
0.001,0.1,0.2147538957685157,7.1619034603789204,0.05997117859981697,0.18828571428571497,0.09807485295283368,-0.9648826094355493,-3.659729291141854,0.9827301587301599,0.3083069332627081
0.001,0.5,-0.08148572849375657,7.157708354493763,-0.022768664063435355,0.18165079365079434,0.3278309593313462,-0.9648826094355493,-3.659729291141854,0.9827301587301599,0.3083069332627081
0.001,1.0,-0.10161222672590074,7.170274215887425,-0.028342633396294666,0.17441269841269913,0.33795663617044785,-0.9648826094355493,-3.659729291141854,0.9827301587301599,0.3083069332627081
0.001,2.0,-0.1081253253397518,7.176832005861584,-0.030131769909464746,0.15501587301587352,0.3443754770781887,-0.9648826094355493,-3.659729291141854,0.9827301587301599,0.3083069332627081
0.005,0.0,0.3031770822069501,7.203382891267925,0.08417630626700881,0.022349206349206313,0.016853049031516614,-2.1981103424863817,-6.649725774790238,0.9827301587301599,1.54153466631354
0.005,0.1,0.32426941218325056,7.195738555129245,0.09012818064439147,0.0,0.0,-2.1981103424863817,-6.649725774790238,0.9827301587301599,1.54153466631354
0.005,0.5,-0.3140054573541663,7.2992187242927935,-0.08603810057345271,0.09282539682539673,0.6018554275664544,-2.1981103424863817,-6.649725774790238,0.9827301587301599,1.54153466631354
0.005,1.0,-0.3464589550639446,7.320451589199082,-0.09465507717450805,0.09266666666666655,0.6219364359092882,-2.1981103424863817,-6.649725774790238,0.9827301587301599,1.54153466631354
0.005,2.0,-1.4376893727643374,7.375053924437109,-0.3898790130877767,0.13111111111111126,1.6761895664552071,-2.1981103424863817,-6.649725774790238,0.9827301587301599,1.54153466631354
0.01,0.0,0.32426941218325056,7.195738555129245,0.09012818064439147,0.0,0.0,-3.7396450087999216,-7.35540994880986,0.9827301587301599,3.08306933262708
0.01,0.1,0.32426941218325056,7.195738555129245,0.09012818064439147,0.0,0.0,-3.7396450087999216,-7.35540994880986,0.9827301587301599,3.08306933262708
0.01,0.5,-0.8355463409260524,7.443808314183137,-0.2244943194826862,0.089142857142857,1.1466749152860056,-3.7396450087999216,-7.35540994880986,0.9827301587301599,3.08306933262708
0.01,1.0,-0.914143535833453,7.486246624187413,-0.2442194551485746,0.09285714285714275,1.2082696188132191,-3.7396450087999216,-7.35540994880986,0.9827301587301599,3.08306933262708
0.01,2.0,-0.9665143567754026,7.523078466241984,-0.25694650431001215,0.09273015873015861,1.2438021224055147,-3.7396450087999216,-7.35540994880986,0.9827301587301599,3.08306933262708
